,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_TEAMMATE_PLAYER_ID,PASS_TO,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,Playoff,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,Name,ID
24,0.0,0.0,0.0,,0.13,0.0,0.0,0.13,0.0,0.0,0.004,15,0.13,2440,"Barnes, Matt",made,201142,"Durant, Kevin",Yes,GSW,1610612744,Golden State Warriors,Kevin Durant,24
25,0.07,0.19,0.05,0.286,0.08,0.04,0.5,0.27,0.09,0.35,0.014,74,0.81,1627770,"Felder, Kay",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,25
26,0.14,0.23,0.11,0.471,0.19,0.05,0.286,0.42,0.16,0.387,0.02,74,1.2,203895,"McRae, Jordan",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,26
27,0.12,0.16,0.08,0.5,0.19,0.04,0.214,0.35,0.12,0.346,0.029,74,1.73,202732,"Liggins, DeAndre",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,27
28,0.77,0.65,0.3,0.458,1.42,0.59,0.419,2.07,0.89,0.431,0.083,74,4.91,202697,"Shumpert, Iman",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,28
29,0.77,1.2,0.84,0.697,0.0,0.0,,1.2,0.84,0.697,0.077,74,4.55,202684,"Thompson, Tristan",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,29
30,0.24,0.19,0.16,0.857,0.15,0.08,0.545,0.34,0.24,0.72,0.016,74,0.95,202682,"Williams, Derrick",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,30
31,1.11,3.09,1.65,0.533,2.0,0.7,0.351,5.09,2.35,0.462,0.267,74,15.8,202681,"Irving, Kyrie",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,31
32,1.69,1.86,0.93,0.5,2.26,0.96,0.425,4.12,1.89,0.459,0.151,74,8.92,201567,"Love, Kevin",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,32
33,0.11,0.24,0.09,0.389,0.22,0.08,0.375,0.46,0.18,0.382,0.038,74,2.24,101114,"Williams, Deron",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,33
34,1.38,0.89,0.55,0.621,1.96,0.92,0.469,2.85,1.47,0.517,0.102,74,6.03,101112,"Frye, Channing",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,34
35,0.65,0.3,0.11,0.364,1.58,0.58,0.368,1.88,0.69,0.367,0.067,74,3.93,2747,"Smith, JR",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,35
36,0.74,0.36,0.19,0.519,1.12,0.57,0.506,1.49,0.76,0.509,0.048,74,2.85,2594,"Korver, Kyle",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,36
37,0.07,0.03,0.01,0.5,0.09,0.05,0.571,0.12,0.07,0.556,0.004,74,0.26,2592,"Jones, James",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,37
38,0.12,0.12,0.04,0.333,0.22,0.08,0.375,0.34,0.12,0.36,0.015,74,0.91,2399,"Dunleavy, Mike",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,38
39,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,74,0.03,2365,"Andersen, Chris",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,39
40,0.76,0.74,0.53,0.709,0.8,0.26,0.322,1.54,0.78,0.509,0.068,74,4.0,2210,"Jefferson, Richard",made,2544,"James, LeBron",,CLE,1610612739,Cleveland Cavaliers,LeBron James,40
41,0.28,0.44,0.17,0.375,0.5,0.17,0.333,0.94,0.33,0.353,0.032,18,2.0,202697,"Shumpert, Iman",made,2544,"James, LeBron",Yes,CLE,1610612739,Cleveland Cavaliers,LeBron James,41
42,0.83,1.39,0.83,0.6,0.0,0.0,,1.39,0.83,0.6,0.097,18,6.06,202684,"Thompson, Tristan",made,2544,"James, LeBron",Yes,CLE,1610612739,Cleveland Cavaliers,LeBron James,42
43,1.22,4.83,2.44,0.506,2.39,0.94,0.395,7.22,3.39,0.469,0.304,18,18.89,202681,"Irving, Kyrie",made,2544,"James, LeBron",Yes,CLE,1610612739,Cleveland Cavaliers,LeBron James,43
44,1.94,2.39,1.0,0.419,3.0,1.28,0.426,5.39,2.28,0.423,0.193,18,12.0,201567,"Love, Kevin",made,2544,"James, LeBron",Yes,CLE,1610612739,Cleveland Cavaliers,LeBron James,44
45,0.39,0.28,0.11,0.4,0.78,0.33,0.429,1.06,0.44,0.421,0.094,18,5.83,101114,"Williams, Deron",made,2544,"James, LeBron",Yes,CLE,1610612739,Cleveland Cavaliers,LeBron James,45
46,0.44,0.28,0.17,0.6,0.61,0.28,0.455,0.89,0.44,0.5,0.043,18,2.67,101112,"Frye, Channing",made,2544,"James, LeBron",Yes,CLE,1610612739,Cleveland Cavaliers,LeBron James,46
47,1.44,0.5,0.28,0.556,2.22,1.22,0.55,2.72,1.5,0.551,0.119,18,7.39,2747,"Smith, JR",made,2544,"James, LeBron",Yes,CLE,1610612739,Cleveland Cavaliers,LeBron James,47
48,0.94,0.22,0.22,1.0,1.94,0.72,0.371,2.17,0.94,0.436,0.068,18,4.22,2594,"Korver, Kyle",made,2544,"James, LeBron",Yes,CLE,1610612739,Cleveland Cavaliers,LeBron James,48
49,0.33,0.5,0.28,0.556,0.56,0.11,0.2,1.06,0.39,0.368,0.049,18,3.06,2210,"Jefferson, Richard",made,2544,"James, LeBron",Yes,CLE,1610612739,Cleveland Cavaliers,LeBron James,49
50,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,79,0.03,2004318071," ,",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,50
51,0.22,0.23,0.14,0.611,0.33,0.1,0.308,0.56,0.24,0.432,0.052,79,2.7,1627775,"McCaw, Patrick",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,51
52,0.11,0.18,0.11,0.643,0.0,0.0,,0.18,0.11,0.643,0.016,79,0.85,1626172,"Looney, Kevon",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,52
53,0.09,0.14,0.09,0.636,0.0,0.0,,0.14,0.09,0.636,0.012,79,0.63,203949,"McAdoo, James Michael",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,53
54,0.18,0.27,0.1,0.381,0.25,0.09,0.35,0.52,0.19,0.366,0.033,79,1.72,203546,"Clark, Ian",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,54
55,0.89,1.35,0.68,0.505,0.86,0.28,0.324,2.22,0.96,0.434,0.265,79,13.82,203110,"Green, Draymond",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,55
56,1.63,1.77,0.94,0.529,1.76,0.85,0.482,3.53,1.78,0.505,0.148,79,7.71,202691,"Thompson, Klay",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,56
57,0.56,0.89,0.59,0.671,0.0,0.0,,0.89,0.59,0.671,0.036,79,1.87,201580,"McGee, JaVale",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,57
58,1.25,2.08,1.23,0.591,1.16,0.44,0.38,3.24,1.67,0.516,0.161,79,8.41,201142,"Durant, Kevin",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,58
59,0.01,0.03,0.01,0.5,0.0,0.0,,0.03,0.01,0.5,0.006,79,0.3,2760,"Varejao, Anderson",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,59
