,BLKA,BLKA_RANK,CFID,CFPARAMS,EFG_PCT,EFG_PCT_RANK,FG3A,FG3A_RANK,FG3M,FG3M_RANK,FG3_PCT,FG3_PCT_RANK,FGA,FGA_RANK,FGM,FGM_RANK,FG_PCT,FG_PCT_RANK,GROUP_SET,PCT_AST_2PM,PCT_AST_2PM_RANK,PCT_AST_3PM,PCT_AST_3PM_RANK,PCT_AST_FGM,PCT_AST_FGM_RANK,PCT_UAST_2PM,PCT_UAST_2PM_RANK,PCT_UAST_3PM,PCT_UAST_3PM_RANK,PCT_UAST_FGM,PCT_UAST_FGM_RANK,PLAYER_ID,PLAYER_NAME,Playoff,Name,ID
21,0,1,45,2561,1.071,7,1,6,1,6,1.0,1,7,4,7,4,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2561,"West, David",Yes,Kevin Durant,21
22,0,1,45,2399,1.0,14,0,14,0,14,0.0,14,3,12,3,12,1.0,1,Assisted By,1.0,1,0.0,14,1.0,1,0.0,1,0.0,1,0.0,1,2399,"Dunleavy, Mike",,LeBron James,22
23,0,1,45,1627770,1.25,2,1,9,1,9,1.0,1,2,13,2,13,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1627770,"Felder, Kay",,LeBron James,23
24,0,1,45,101112,1.125,8,2,7,2,7,1.0,1,8,9,8,9,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,101112,"Frye, Channing",,LeBron James,24
25,0,1,45,202681,1.131,7,26,1,26,1,1.0,1,99,1,99,1,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202681,"Irving, Kyrie",,LeBron James,25
26,0,1,45,2210,1.029,13,1,9,1,9,1.0,1,17,5,17,5,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2210,"Jefferson, Richard",,LeBron James,26
27,0,1,45,2592,1.0,14,0,14,0,14,0.0,14,1,14,1,14,1.0,1,Assisted By,1.0,1,0.0,14,1.0,1,0.0,1,0.0,1,0.0,1,2592,"Jones, James",,LeBron James,27
28,0,1,45,2594,1.083,10,1,9,1,9,1.0,1,6,10,6,10,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2594,"Korver, Kyle",,LeBron James,28
29,0,1,45,202732,1.056,12,1,9,1,9,1.0,1,9,8,9,8,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202732,"Liggins, DeAndre",,LeBron James,29
30,0,1,45,201567,1.065,11,7,2,7,2,1.0,1,54,2,54,2,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,201567,"Love, Kevin",,LeBron James,30
31,0,1,45,203895,1.25,2,2,7,2,7,1.0,1,4,11,4,11,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,203895,"McRae, Jordan",,LeBron James,31
32,0,1,45,202697,1.154,4,4,5,4,5,1.0,1,13,6,13,6,1.0,1,Assisted By,1.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,202697,"Shumpert, Iman",,LeBron James,32
