,BLKA,BLKA_RANK,CFID,CFPARAMS,EFG_PCT,EFG_PCT_RANK,FG3A,FG3A_RANK,FG3M,FG3M_RANK,FG3_PCT,FG3_PCT_RANK,FGA,FGA_RANK,FGM,FGM_RANK,FG_PCT,FG_PCT_RANK,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_2PM_RANK,PCT_AST_3PM,PCT_AST_3PM_RANK,PCT_AST_FGM,PCT_AST_FGM_RANK,PCT_UAST_2PM,PCT_UAST_2PM_RANK,PCT_UAST_3PM,PCT_UAST_3PM_RANK,PCT_UAST_FGM,PCT_UAST_FGM_RANK,Playoff,Name,ID
0,27,1,44,2016-17,0.594,1,312,1,117,1,0.375,1,1026,1,551,1,0.537,1,Overall,2016-17,0.565,1,0.812,1,0.617,1,0.435,1,0.188,1,0.383,1,,Kevin Durant,0
1,13,1,44,2016-17,0.627,1,86,1,38,1,0.442,1,268,1,149,1,0.556,1,Overall,2016-17,0.541,1,0.632,1,0.564,1,0.459,1,0.368,1,0.436,1,Yes,Kevin Durant,1
2,60,1,44,2016-17,0.594,1,342,1,124,1,0.363,1,1344,1,736,1,0.548,1,Overall,2016-17,0.355,1,0.492,1,0.378,1,0.645,1,0.508,1,0.622,1,,LeBron James,2
3,16,1,44,2016-17,0.622,1,107,1,44,1,0.411,1,384,1,217,1,0.565,1,Overall,2016-17,0.358,1,0.386,1,0.364,1,0.642,1,0.614,1,0.636,1,Yes,LeBron James,3
4,55,1,44,2016-17,0.58,1,789,1,324,1,0.411,1,1443,1,675,1,0.468,1,Overall,2016-17,0.413,1,0.642,1,0.523,1,0.587,1,0.358,1,0.477,1,,Stephen Curry,4
5,9,1,44,2016-17,0.599,1,172,1,72,1,0.419,1,312,1,151,1,0.484,1,Overall,2016-17,0.266,1,0.5,1,0.377,1,0.734,1,0.5,1,0.623,1,Yes,Stephen Curry,5
